order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_amount,is_subscription_item,created_at
BM_0001_2024_ITEM_1,BM_0001_2024,BEAU_013,1,89.99,79.96,10.03,FALSE,1/23/24 8:49
BM_0002_2024_ITEM_1,BM_0002_2024,BEAU_003,1,124.99,124.99,0,FALSE,1/25/24 15:53
BM_0002_2024_ITEM_2,BM_0002_2024,BEAU_011,1,34.99,33.22,1.77,FALSE,1/25/24 15:53
BM_0003_2024_ITEM_1,BM_0003_2024,BEAU_010,1,59.99,59.99,0,FALSE,1/24/24 1:02
BM_0003_2024_ITEM_2,BM_0003_2024,BEAU_002,1,64.99,64.99,0,FALSE,1/24/24 1:02
BM_0003_2024_ITEM_3,BM_0003_2024,BEAU_015,1,159.99,132.59,27.4,FALSE,1/24/24 1:02
BM_0004_2024_ITEM_1,BM_0004_2024,BEAU_002,1,64.99,59.11,5.88,FALSE,1/31/24 0:58
BM_0004_2024_ITEM_2,BM_0004_2024,BEAU_007,1,28.99,20.81,8.18,FALSE,1/31/24 0:58
BM_0005_2024_ITEM_1,BM_0005_2024,BEAU_015,2,159.99,319.98,0,FALSE,1/26/24 12:01
BM_0005_2024_ITEM_2,BM_0005_2024,BEAU_008,1,76.99,76.99,0,FALSE,1/26/24 12:01
BM_0006_2024_ITEM_1,BM_0006_2024,BEAU_015,1,159.99,151.55,8.44,FALSE,1/10/24 22:43
BM_0006_2024_ITEM_2,BM_0006_2024,BEAU_010,1,59.99,59.99,0,FALSE,1/10/24 22:43
BM_0007_2024_ITEM_1,BM_0007_2024,BEAU_014,1,249.99,242.03,7.96,FALSE,1/20/24 12:49
BM_0007_2024_ITEM_2,BM_0007_2024,BEAU_009,2,39.99,65.71,14.27,FALSE,1/20/24 12:49
BM_0007_2024_ITEM_3,BM_0007_2024,BEAU_002,1,64.99,59.73,5.26,TRUE,1/20/24 12:49
BM_0008_2024_ITEM_1,BM_0008_2024,BEAU_012,1,199.99,188.43,11.56,FALSE,1/11/24 22:40
BM_0009_2024_ITEM_1,BM_0009_2024,BEAU_011,1,34.99,34.99,0,FALSE,1/11/24 7:14
BM_0010_2024_ITEM_1,BM_0010_2024,BEAU_013,1,89.99,89.99,0,FALSE,1/5/24 6:59
BM_0010_2024_ITEM_2,BM_0010_2024,BEAU_001,1,89.99,89.99,0,FALSE,1/5/24 6:59
BM_0010_2024_ITEM_3,BM_0010_2024,BEAU_005,1,54.99,45.56,9.43,FALSE,1/5/24 6:59
BM_0010_2024_ITEM_4,BM_0010_2024,BEAU_003,1,124.99,115.04,9.95,FALSE,1/5/24 6:59
BM_0011_2024_ITEM_1,BM_0011_2024,BEAU_003,1,124.99,112.45,12.54,FALSE,1/13/24 4:33
BM_0012_2024_ITEM_1,BM_0012_2024,BEAU_014,1,249.99,249.99,0,FALSE,1/3/24 2:09
BM_0013_2024_ITEM_1,BM_0013_2024,BEAU_003,1,124.99,94.35,30.64,TRUE,1/29/24 20:30
BM_0014_2024_ITEM_1,BM_0014_2024,BEAU_003,1,124.99,104.63,20.36,FALSE,1/9/24 5:58
BM_0015_2024_ITEM_1,BM_0015_2024,BEAU_006,1,48.99,41.52,7.47,FALSE,1/21/24 14:20
BM_0015_2024_ITEM_2,BM_0015_2024,BEAU_007,1,28.99,22.54,6.45,FALSE,1/21/24 14:20
BM_0016_2024_ITEM_1,BM_0016_2024,BEAU_012,1,199.99,189.75,10.24,FALSE,1/20/24 1:16
BM_0017_2024_ITEM_1,BM_0017_2024,BEAU_015,1,159.99,159.99,0,FALSE,1/30/24 4:10
BM_0017_2024_ITEM_2,BM_0017_2024,BEAU_014,1,249.99,184.91,65.08,FALSE,1/30/24 4:10
BM_0018_2024_ITEM_1,BM_0018_2024,BEAU_013,1,89.99,89.99,0,FALSE,1/18/24 10:23
BM_0019_2024_ITEM_1,BM_0019_2024,BEAU_005,1,54.99,46.74,8.25,TRUE,1/6/24 0:30
BM_0020_2024_ITEM_1,BM_0020_2024,BEAU_010,1,59.99,54.38,5.61,FALSE,1/26/24 22:40
BM_0020_2024_ITEM_2,BM_0020_2024,BEAU_005,1,54.99,41.07,13.92,FALSE,1/26/24 22:40
BM_0021_2024_ITEM_1,BM_0021_2024,BEAU_001,1,89.99,86.8,3.19,FALSE,1/21/24 11:08
BM_0021_2024_ITEM_2,BM_0021_2024,BEAU_008,1,76.99,76.99,0,FALSE,1/21/24 11:08
BM_0022_2024_ITEM_1,BM_0022_2024,BEAU_008,1,76.99,76.99,0,FALSE,1/3/24 2:20
BM_0022_2024_ITEM_2,BM_0022_2024,BEAU_003,1,124.99,113.89,11.1,FALSE,1/3/24 2:20
BM_0023_2024_ITEM_1,BM_0023_2024,BEAU_011,1,34.99,25.06,9.93,FALSE,1/25/24 12:27
BM_0023_2024_ITEM_2,BM_0023_2024,BEAU_008,1,76.99,76.99,0,FALSE,1/25/24 12:27
BM_0024_2024_ITEM_1,BM_0024_2024,BEAU_011,1,34.99,27.38,7.61,FALSE,1/4/24 18:32
BM_0025_2024_ITEM_1,BM_0025_2024,BEAU_013,1,89.99,67.53,22.46,FALSE,1/20/24 21:56
BM_0026_2024_ITEM_1,BM_0026_2024,BEAU_006,1,48.99,48.99,0,FALSE,1/1/24 13:36
BM_0027_2024_ITEM_1,BM_0027_2024,BEAU_007,1,28.99,22.35,6.64,FALSE,1/28/24 19:28
BM_0028_2024_ITEM_1,BM_0028_2024,BEAU_014,1,249.99,195.87,54.12,FALSE,1/1/24 10:30
BM_0028_2024_ITEM_2,BM_0028_2024,BEAU_008,1,76.99,76.99,0,FALSE,1/1/24 10:30
BM_0029_2024_ITEM_1,BM_0029_2024,BEAU_009,1,39.99,39.99,0,FALSE,1/7/24 15:23
BM_0029_2024_ITEM_2,BM_0029_2024,BEAU_015,1,159.99,159.99,0,FALSE,1/7/24 15:23
BM_0029_2024_ITEM_3,BM_0029_2024,BEAU_007,1,28.99,27.63,1.36,FALSE,1/7/24 15:23
BM_0030_2024_ITEM_1,BM_0030_2024,BEAU_014,1,249.99,211.41,38.58,FALSE,1/4/24 22:53
BM_0030_2024_ITEM_2,BM_0030_2024,BEAU_009,1,39.99,39.99,0,FALSE,1/4/24 22:53
BM_0030_2024_ITEM_3,BM_0030_2024,BEAU_006,1,48.99,48.99,0,FALSE,1/4/24 22:53
BM_0031_2024_ITEM_1,BM_0031_2024,BEAU_015,1,159.99,114.78,45.21,FALSE,1/27/24 4:08
BM_0032_2024_ITEM_1,BM_0032_2024,BEAU_008,1,76.99,76.99,0,FALSE,1/12/24 2:07
BM_0032_2024_ITEM_2,BM_0032_2024,BEAU_009,1,39.99,36.9,3.09,FALSE,1/12/24 2:07
BM_0033_2024_ITEM_1,BM_0033_2024,BEAU_009,1,39.99,39.99,0,FALSE,1/18/24 17:07
BM_0034_2024_ITEM_1,BM_0034_2024,BEAU_002,1,64.99,61.54,3.45,FALSE,1/26/24 20:33
BM_0034_2024_ITEM_2,BM_0034_2024,BEAU_015,1,159.99,159.99,0,FALSE,1/26/24 20:33
BM_0035_2024_ITEM_1,BM_0035_2024,BEAU_011,1,34.99,33.37,1.62,FALSE,1/27/24 11:49
BM_0036_2024_ITEM_1,BM_0036_2024,BEAU_010,1,59.99,52.28,7.71,FALSE,1/4/24 1:47
BM_0036_2024_ITEM_2,BM_0036_2024,BEAU_008,1,76.99,67.72,9.27,FALSE,1/4/24 1:47
BM_0037_2024_ITEM_1,BM_0037_2024,BEAU_014,1,249.99,218.66,31.33,FALSE,1/6/24 20:19
BM_0037_2024_ITEM_2,BM_0037_2024,BEAU_001,2,89.99,178.5,1.48,TRUE,1/6/24 20:19
BM_0038_2024_ITEM_1,BM_0038_2024,BEAU_010,1,59.99,59.99,0,FALSE,1/14/24 3:16
BM_0039_2024_ITEM_1,BM_0039_2024,BEAU_009,1,39.99,35.48,4.51,FALSE,1/21/24 18:38
BM_0040_2024_ITEM_1,BM_0040_2024,BEAU_007,1,28.99,28.63,0.36,FALSE,1/27/24 5:00
BM_0041_2024_ITEM_1,BM_0041_2024,BEAU_012,1,199.99,175.99,24,FALSE,1/6/24 20:38
BM_0042_2024_ITEM_1,BM_0042_2024,BEAU_014,1,249.99,249.99,0,FALSE,1/8/24 10:27
BM_0042_2024_ITEM_2,BM_0042_2024,BEAU_013,1,89.99,89.99,0,FALSE,1/8/24 10:27
BM_0043_2024_ITEM_1,BM_0043_2024,BEAU_009,1,39.99,39.99,0,FALSE,1/19/24 3:00
BM_0044_2024_ITEM_1,BM_0044_2024,BEAU_013,1,89.99,89.99,0,FALSE,1/26/24 2:49
BM_0044_2024_ITEM_2,BM_0044_2024,BEAU_014,1,249.99,213.26,36.73,FALSE,1/26/24 2:49
BM_0045_2024_ITEM_1,BM_0045_2024,BEAU_013,2,89.99,179.98,0,FALSE,1/18/24 4:33
BM_0046_2024_ITEM_1,BM_0046_2024,BEAU_010,1,59.99,51.07,8.92,FALSE,1/28/24 9:24
BM_0046_2024_ITEM_2,BM_0046_2024,BEAU_003,1,124.99,124.99,0,FALSE,1/28/24 9:24
BM_0047_2024_ITEM_1,BM_0047_2024,BEAU_013,1,89.99,76.11,13.88,FALSE,1/1/24 12:31
BM_0048_2024_ITEM_1,BM_0048_2024,BEAU_009,1,39.99,35.45,4.54,FALSE,1/27/24 19:39
BM_0048_2024_ITEM_2,BM_0048_2024,BEAU_010,1,59.99,59.99,0,FALSE,1/27/24 19:39
BM_0049_2024_ITEM_1,BM_0049_2024,BEAU_008,1,76.99,76.99,0,FALSE,1/25/24 20:36
BM_0050_2024_ITEM_1,BM_0050_2024,BEAU_009,1,39.99,39.99,0,FALSE,1/29/24 23:25
BM_0051_2024_ITEM_1,BM_0051_2024,BEAU_008,2,76.99,153.98,0,FALSE,1/22/24 12:31
BM_0051_2024_ITEM_2,BM_0051_2024,BEAU_014,1,249.99,249.99,0,FALSE,1/22/24 12:31
BM_0052_2024_ITEM_1,BM_0052_2024,BEAU_006,1,48.99,48.99,0,FALSE,1/28/24 21:12
BM_0052_2024_ITEM_2,BM_0052_2024,BEAU_005,1,54.99,54.99,0,TRUE,1/28/24 21:12
