order_id,customer_id,order_date,order_status,total_amount,subtotal,tax_amount,shipping_amount,discount_amount,payment_method,shipping_address_state,is_subscription_order,subscription_frequency,customer_type,acquisition_channel,created_at,updated_at
BM_0001_2024,CUST_BM_001,1/23/24 8:49,fulfilled,86.36,79.96,6.4,0,10.03,credit_card,WI,FALSE,,new,podcast_sponsor,1/23/24 8:49,1/23/24 10:35
BM_0002_2024,CUST_BM_002,1/25/24 15:53,fulfilled,170.86,158.21,12.66,0,1.77,apple_pay,NV,FALSE,,new,google_search,1/25/24 15:53,1/26/24 4:10
BM_0003_2024,CUST_BM_003,1/24/24 1:02,fulfilled,278.18,257.57,20.61,0,27.4,google_pay,AZ,FALSE,,new,email,1/24/24 1:02,1/24/24 4:17
BM_0004_2024,CUST_BM_004,1/31/24 0:58,shipped,86.32,79.92,6.39,0,14.06,paypal,OR,FALSE,,new,podcast_sponsor,1/31/24 0:58,2/1/24 0:26
BM_0005_2024,CUST_BM_005,1/26/24 12:01,fulfilled,428.73,396.97,31.76,0,0,credit_card,PA,FALSE,,new,email,1/26/24 12:01,1/27/24 8:42
BM_0006_2024,CUST_BM_006,1/10/24 22:43,fulfilled,228.46,211.54,16.92,0,8.44,credit_card,TX,FALSE,,new,podcast_sponsor,1/10/24 22:43,1/11/24 0:43
BM_0007_2024,CUST_BM_007,1/20/24 12:49,fulfilled,396.87,367.47,29.4,0,27.49,google_pay,UT,FALSE,,new,youtube_ads,1/20/24 12:49,1/20/24 14:58
BM_0008_2024,CUST_BM_008,1/11/24 22:40,fulfilled,203.51,188.43,15.07,0,11.56,apple_pay,WI,FALSE,,new,direct,1/11/24 22:40,1/12/24 2:59
BM_0009_2024,CUST_BM_009,1/11/24 7:14,fulfilled,47.78,34.99,2.8,9.99,0,google_pay,AZ,FALSE,,new,tiktok_ads,1/11/24 7:14,1/12/24 0:40
BM_0010_2024,CUST_BM_010,1/5/24 6:59,fulfilled,367.82,340.58,27.25,0,19.38,apple_pay,UT,FALSE,,new,instagram_ads,1/5/24 6:59,1/5/24 19:04
BM_0011_2024,CUST_BM_011,1/13/24 4:33,fulfilled,121.45,112.45,9,0,12.54,apple_pay,UT,FALSE,,new,tiktok_ads,1/13/24 4:33,1/13/24 23:59
BM_0012_2024,CUST_BM_012,1/3/24 2:09,fulfilled,269.99,249.99,20,0,0,apple_pay,MN,FALSE,,new,google_search,1/3/24 2:09,1/3/24 15:14
BM_0013_2024,CUST_BM_013,1/29/24 20:30,fulfilled,101.9,94.35,7.55,0,30.64,google_pay,CO,FALSE,,new,direct,1/29/24 20:30,1/30/24 13:16
BM_0014_2024,CUST_BM_014,1/9/24 5:58,fulfilled,113,104.63,8.37,0,20.36,apple_pay,NV,FALSE,,new,instagram_ads,1/9/24 5:58,1/9/24 10:16
BM_0015_2024,CUST_BM_015,1/21/24 14:20,fulfilled,69.19,64.07,5.13,0,13.91,paypal,CA,FALSE,,new,word_of_mouth,1/21/24 14:20,1/21/24 15:27
BM_0016_2024,CUST_BM_016,1/20/24 1:16,fulfilled,204.93,189.75,15.18,0,10.24,google_pay,PA,FALSE,,new,tiktok_ads,1/20/24 1:16,1/20/24 21:56
BM_0017_2024,CUST_BM_017,1/30/24 4:10,fulfilled,372.49,344.9,27.59,0,65.08,google_pay,OR,FALSE,,new,amazon_ads,1/30/24 4:10,1/30/24 19:43
