order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_amount,is_subscription_item,created_at
BS_0001_2024_ITEM_1,BS_0001_2024,BSML_008,1,28.99,24.85,4.14,false,2024-01-14 02:36:17
BS_0002_2024_ITEM_1,BS_0002_2024,BSML_002,1,38.99,36.20,2.79,true,2024-01-27 14:54:01
BS_0002_2024_ITEM_2,BS_0002_2024,BSML_006,2,22.99,45.98,0.00,false,2024-01-27 14:54:01
BS_0003_2024_ITEM_1,BS_0003_2024,BSML_001,1,45.99,39.08,6.91,false,2024-01-06 15:11:46
BS_0003_2024_ITEM_2,BS_0003_2024,BSML_004,1,68.99,51.11,17.88,false,2024-01-06 15:11:46
BS_0004_2024_ITEM_1,BS_0004_2024,BSML_005,2,32.99,57.50,8.48,false,2024-01-04 09:00:25
BS_0004_2024_ITEM_2,BS_0004_2024,BSML_003,2,24.99,49.98,0.00,false,2024-01-04 09:00:25
BS_0004_2024_ITEM_3,BS_0004_2024,BSML_002,1,38.99,33.74,5.25,false,2024-01-04 09:00:25
BS_0005_2024_ITEM_1,BS_0005_2024,BSML_008,1,28.99,28.99,0.00,false,2024-01-19 11:28:43
BS_0006_2024_ITEM_1,BS_0006_2024,BSML_005,1,32.99,32.99,0.00,false,2024-01-29 00:57:43
BS_0007_2024_ITEM_1,BS_0007_2024,BSML_006,1,22.99,21.53,1.46,false,2024-01-08 11:26:12
BS_0007_2024_ITEM_2,BS_0007_2024,BSML_008,1,28.99,28.54,0.45,false,2024-01-08 11:26:12
BS_0008_2024_ITEM_1,BS_0008_2024,BSML_005,1,32.99,32.99,0.00,false,2024-01-30 18:38:28
BS_0009_2024_ITEM_1,BS_0009_2024,BSML_009,1,89.99,83.61,6.38,false,2024-01-27 23:23:29
BS_0009_2024_ITEM_2,BS_0009_2024,BSML_002,1,38.99,38.99,0.00,false,2024-01-27 23:23:29
BS_0010_2024_ITEM_1,BS_0010_2024,BSML_006,1,22.99,19.55,3.44,false,2024-01-10 00:23:31
BS_0011_2024_ITEM_1,BS_0011_2024,BSML_009,1,89.99,83.68,6.31,false,2024-01-26 18:42:40
BS_0012_2024_ITEM_1,BS_0012_2024,BSML_003,1,24.99,24.40,0.59,true,2024-01-15 03:44:50
BS_0012_2024_ITEM_2,BS_0012_2024,BSML_002,1,38.99,27.94,11.05,false,2024-01-15 03:44:50
BS_0013_2024_ITEM_1,BS_0013_2024,BSML_009,1,89.99,63.89,26.10,false,2024-01-02 05:03:54
BS_0014_2024_ITEM_1,BS_0014_2024,BSML_006,1,22.99,17.25,5.74,false,2024-01-27 05:34:22
BS_0015_2024_ITEM_1,BS_0015_2024,BSML_009,1,89.99,70.89,19.10,false,2024-01-02 21:30:55
BS_0016_2024_ITEM_1,BS_0016_2024,BSML_004,1,68.99,67.33,1.66,false,2024-01-13 20:46:53
BS_0016_2024_ITEM_2,BS_0016_2024,BSML_005,2,32.99,63.17,2.81,false,2024-01-13 20:46:53
BS_0017_2024_ITEM_1,BS_0017_2024,BSML_008,1,28.99,24.46,4.53,false,2024-01-10 02:50:44
BS_0018_2024_ITEM_1,BS_0018_2024,BSML_005,1,32.99,32.99,0.00,false,2024-01-30 10:20:06
BS_0018_2024_ITEM_2,BS_0018_2024,BSML_003,1,24.99,18.31,6.68,false,2024-01-30 10:20:06
BS_0019_2024_ITEM_1,BS_0019_2024,BSML_009,1,89.99,85.99,4.00,false,2024-01-08 06:33:56
BS_0020_2024_ITEM_1,BS_0020_2024,BSML_006,2,22.99,43.66,2.32,false,2024-01-26 06:13:52
BS_0021_2024_ITEM_1,BS_0021_2024,BSML_001,1,45.99,45.99,0.00,true,2024-01-12 14:11:59
BS_0022_2024_ITEM_1,BS_0022_2024,BSML_007,1,18.99,14.14,4.85,false,2024-01-24 09:43:57
BS_0023_2024_ITEM_1,BS_0023_2024,BSML_002,1,38.99,38.80,0.19,false,2024-01-03 13:17:54
BS_0023_2024_ITEM_2,BS_0023_2024,BSML_003,1,24.99,22.47,2.52,true,2024-01-03 13:17:54
BS_0023_2024_ITEM_3,BS_0023_2024,BSML_005,1,32.99,24.91,8.08,false,2024-01-03 13:17:54
BS_0024_2024_ITEM_1,BS_0024_2024,BSML_009,1,89.99,85.95,4.04,false,2024-01-27 17:59:57
BS_0025_2024_ITEM_1,BS_0025_2024,BSML_001,1,45.99,37.80,8.19,true,2024-01-15 00:00:43
BS_0025_2024_ITEM_2,BS_0025_2024,BSML_006,1,22.99,22.99,0.00,false,2024-01-15 00:00:43
BS_0026_2024_ITEM_1,BS_0026_2024,BSML_004,1,68.99,66.56,2.43,true,2024-01-08 20:20:25
BS_0026_2024_ITEM_2,BS_0026_2024,BSML_008,1,28.99,28.99,0.00,false,2024-01-08 20:20:25
BS_0027_2024_ITEM_1,BS_0027_2024,BSML_009,1,89.99,89.99,0.00,false,2024-01-14 08:03:55
BS_0028_2024_ITEM_1,BS_0028_2024,BSML_004,1,68.99,63.70,5.29,false,2024-01-05 21:52:59
BS_0029_2024_ITEM_1,BS_0029_2024,BSML_001,1,45.99,45.25,0.74,true,2024-01-28 08:36:23
BS_0030_2024_ITEM_1,BS_0030_2024,BSML_009,1,89.99,77.48,12.51,false,2024-01-04 15:14:42
BS_0030_2024_ITEM_2,BS_0030_2024,BSML_008,1,28.99,27.80,1.19,false,2024-01-04 15:14:42
BS_0031_2024_ITEM_1,BS_0031_2024,BSML_004,1,68.99,68.99,0.00,false,2024-01-27 00:24:25
BS_0032_2024_ITEM_1,BS_0032_2024,BSML_002,1,38.99,36.03,2.96,false,2024-01-03 23:06:10
BS_0033_2024_ITEM_1,BS_0033_2024,BSML_005,2,32.99,65.75,0.23,false,2024-01-13 01:54:02
BS_0033_2024_ITEM_2,BS_0033_2024,BSML_004,1,68.99,68.99,0.00,false,2024-01-13 01:54:02
BS_0034_2024_ITEM_1,BS_0034_2024,BSML_003,1,24.99,22.26,2.73,false,2024-01-17 11:03:52
BS_0035_2024_ITEM_1,BS_0035_2024,BSML_001,1,45.99,41.26,4.73,false,2024-01-08 01:02:06
BS_0036_2024_ITEM_1,BS_0036_2024,BSML_005,1,32.99,29.67,3.32,false,2024-01-28 11:44:04
BS_0036_2024_ITEM_2,BS_0036_2024,BSML_007,1,18.99,18.99,0.00,false,2024-01-28 11:44:04
BS_0037_2024_ITEM_1,BS_0037_2024,BSML_003,1,24.99,24.99,0.00,false,2024-01-25 00:05:01
BS_0037_2024_ITEM_2,BS_0037_2024,BSML_008,1,28.99,28.99,0.00,false,2024-01-25 00:05:01
BS_0038_2024_ITEM_1,BS_0038_2024,BSML_005,1,32.99,32.11,0.88,false,2024-01-13 22:32:30
BS_0038_2024_ITEM_2,BS_0038_2024,BSML_004,1,68.99,67.27,1.72,false,2024-01-13 22:32:30
BS_0039_2024_ITEM_1,BS_0039_2024,BSML_001,1,45.99,40.82,5.17,false,2024-01-24 05:44:57
BS_0040_2024_ITEM_1,BS_0040_2024,BSML_004,1,68.99,64.29,4.70,false,2024-01-16 18:30:08
BS_0040_2024_ITEM_2,BS_0040_2024,BSML_008,2,28.99,46.98,11.00,false,2024-01-16 18:30:08
BS_0041_2024_ITEM_1,BS_0041_2024,BSML_004,1,68.99,55.86,13.13,false,2024-01-11 15:20:19
BS_0041_2024_ITEM_2,BS_0041_2024,BSML_005,1,32.99,32.89,0.10,false,2024-01-11 15:20:19
BS_0042_2024_ITEM_1,BS_0042_2024,BSML_007,1,18.99,18.99,0.00,false,2024-01-25 00:13:27
BS_0042_2024_ITEM_2,BS_0042_2024,BSML_008,1,28.99,25.60,3.39,false,2024-01-25 00:13:27
BS_0042_2024_ITEM_3,BS_0042_2024,BSML_009,1,89.99,89.99,0.00,false,2024-01-25 00:13:27
BS_0043_2024_ITEM_1,BS_0043_2024,BSML_006,1,22.99,19.97,3.02,false,2024-01-21 11:52:11
BS_0043_2024_ITEM_2,BS_0043_2024,BSML_004,1,68.99,58.89,10.10,true,2024-01-21 11:52:11
BS_0044_2024_ITEM_1,BS_0044_2024,BSML_005,1,32.99,29.60,3.39,false,2024-01-07 12:42:46
BS_0045_2024_ITEM_1,BS_0045_2024,BSML_002,1,38.99,33.10,5.89,false,2024-01-18 01:45:30
