order_id,customer_id,order_date,order_status,total_amount,subtotal,tax_amount,shipping_amount,discount_amount,payment_method,shipping_address_state,is_subscription_order,subscription_frequency,customer_type,acquisition_channel,created_at,updated_at
BS_0001_2024,CUST_BS_001,2024-01-14 02:36:17,fulfilled,26.84,24.85,1.99,0.00,4.14,apple_pay,OH,false,,new,google_search,2024-01-14 02:36:17,2024-01-14 03:20:00
BS_0002_2024,CUST_BS_002,2024-01-27 14:54:01,fulfilled,88.75,82.18,6.57,0.00,2.79,apple_pay,PA,false,,new,facebook_ads,2024-01-27 14:54:01,2024-01-27 22:05:05
BS_0003_2024,CUST_BS_003,2024-01-06 15:11:46,fulfilled,97.41,90.19,7.22,0.00,24.79,google_pay,WA,false,,new,facebook_ads,2024-01-06 15:11:46,2024-01-07 07:37:13
BS_0004_2024,CUST_BS_004,2024-01-04 09:00:25,fulfilled,152.51,141.22,11.30,0.00,13.73,google_pay,CO,false,,new,podcast_sponsor,2024-01-04 09:00:25,2024-01-04 22:36:37
BS_0005_2024,CUST_BS_005,2024-01-19 11:28:43,fulfilled,31.31,28.99,2.32,0.00,0.00,credit_card,CO,false,,new,instagram_ads,2024-01-19 11:28:43,2024-01-19 21:49:52
BS_0006_2024,CUST_BS_006,2024-01-29 00:57:43,fulfilled,45.62,32.99,2.64,9.99,0.00,paypal,OR,false,,new,google_search,2024-01-29 00:57:43,2024-01-29 07:29:44
BS_0007_2024,CUST_BS_007,2024-01-08 11:26:12,fulfilled,54.08,50.07,4.01,0.00,1.91,paypal,PA,false,,new,facebook_ads,2024-01-08 11:26:12,2024-01-08 21:56:22
BS_0008_2024,CUST_BS_008,2024-01-30 18:38:28,fulfilled,45.62,32.99,2.64,9.99,0.00,paypal,WA,false,,new,youtube_ads,2024-01-30 18:38:28,2024-01-31 00:18:17
BS_0009_2024,CUST_BS_009,2024-01-27 23:23:29,fulfilled,132.41,122.60,9.81,0.00,6.38,credit_card,WI,false,,new,youtube_ads,2024-01-27 23:23:29,2024-01-28 22:07:20
BS_0010_2024,CUST_BS_010,2024-01-10 00:23:31,fulfilled,21.12,19.55,1.56,0.00,3.44,credit_card,NY,false,,new,facebook_ads,2024-01-10 00:23:31,2024-01-10 22:56:13
BS_0011_2024,CUST_BS_011,2024-01-26 18:42:40,fulfilled,90.37,83.68,6.69,0.00,6.31,paypal,UT,false,,new,direct,2024-01-26 18:42:40,2024-01-27 14:57:11
BS_0012_2024,CUST_BS_012,2024-01-15 03:44:50,fulfilled,56.53,52.34,4.19,0.00,11.64,apple_pay,TX,false,,new,direct,2024-01-15 03:44:50,2024-01-16 00:58:17
BS_0013_2024,CUST_BS_013,2024-01-02 05:03:54,fulfilled,69.00,63.89,5.11,0.00,26.10,paypal,GA,false,,new,direct,2024-01-02 05:03:54,2024-01-02 05:04:55
BS_0014_2024,CUST_BS_014,2024-01-27 05:34:22,fulfilled,18.63,17.25,1.38,0.00,5.74,google_pay,UT,false,,new,word_of_mouth,2024-01-27 05:34:22,2024-01-28 03:45:38
BS_0015_2024,CUST_BS_015,2024-01-02 21:30:55,fulfilled,76.56,70.89,5.67,0.00,19.10,paypal,PA,false,,new,direct,2024-01-02 21:30:55,2024-01-03 09:38:08
BS_0016_2024,CUST_BS_016,2024-01-13 20:46:53,fulfilled,140.94,130.50,10.44,0.00,4.47,paypal,OR,false,,new,word_of_mouth,2024-01-13 20:46:53,2024-01-14 12:53:37
BS_0017_2024,CUST_BS_017,2024-01-10 02:50:44,fulfilled,26.41,24.46,1.96,0.00,4.53,credit_card,IL,false,,new,word_of_mouth,2024-01-10 02:50:44,2024-01-10 11:48:44
BS_0018_2024,CUST_BS_018,2024-01-30 10:20:06,fulfilled,55.40,51.30,4.10,0.00,6.68,google_pay,MN,false,,new,email,2024-01-30 10:20:06,2024-01-30 15:29:54
BS_0019_2024,CUST_BS_019,2024-01-08 06:33:56,shipped,92.87,85.99,6.88,0.00,4.00,credit_card,NY,false,,new,amazon_ads,2024-01-08 06:33:56,2024-01-08 20:50:07
BS_0020_2024,CUST_BS_020,2024-01-26 06:13:52,fulfilled,57.15,43.66,3.49,9.99,2.32,paypal,NC,false,,new,email,2024-01-26 06:13:52,2024-01-27 03:40:43
BS_0021_2024,CUST_BS_021,2024-01-12 14:11:59,fulfilled,59.66,45.99,3.68,9.99,0.00,paypal,CO,false,,new,email,2024-01-12 14:11:59,2024-01-13 04:30:15
BS_0022_2024,CUST_BS_022,2024-01-24 09:43:57,fulfilled,25.27,14.14,1.13,9.99,4.85,apple_pay,CA,false,,new,word_of_mouth,2024-01-24 09:43:57,2024-01-25 08:25:42
BS_0023_2024,CUST_BS_023,2024-01-03 13:17:54,fulfilled,93.07,86.18,6.89,0.00,10.79,google_pay,CA,false,,new,google_search,2024-01-03 13:17:54,2024-01-03 14:28:23
BS_0024_2024,CUST_BS_024,2024-01-27 17:59:57,fulfilled,92.82,85.95,6.88,0.00,4.04,google_pay,OR,false,,new,google_search,2024-01-27 17:59:57,2024-01-28 01:00:57
BS_0025_2024,CUST_BS_025,2024-01-15 00:00:43,fulfilled,65.65,60.79,4.86,0.00,8.19,google_pay,PA,false,,new,instagram_ads,2024-01-15 00:00:43,2024-01-15 19:07:34
BS_0026_2024,CUST_BS_026,2024-01-08 20:20:25,fulfilled,103.20,95.55,7.64,0.00,2.43,credit_card,WA,false,,new,youtube_ads,2024-01-08 20:20:25,2024-01-09 05:11:20
BS_0027_2024,CUST_BS_027,2024-01-14 08:03:55,fulfilled,97.19,89.99,7.20,0.00,0.00,google_pay,WI,false,,new,amazon_ads,2024-01-14 08:03:55,2024-01-14 12:00:33
BS_0028_2024,CUST_BS_028,2024-01-05 21:52:59,fulfilled,68.79,63.70,5.10,0.00,5.29,credit_card,IL,false,,new,amazon_ads,2024-01-05 21:52:59,2024-01-06 04:19:55
BS_0029_2024,CUST_BS_029,2024-01-28 08:36:23,fulfilled,48.87,45.25,3.62,0.00,0.74,google_pay,FL,false,,new,google_search,2024-01-28 08:36:23,2024-01-28 10:45:50
BS_0030_2024,CUST_BS_030,2024-01-04 15:14:42,fulfilled,113.70,105.28,8.42,0.00,13.70,credit_card,PA,false,,new,amazon_ads,2024-01-04 15:14:42,2024-01-04 21:57:13
BS_0031_2024,CUST_BS_031,2024-01-27 00:24:25,fulfilled,74.51,68.99,5.52,0.00,0.00,credit_card,GA,false,,new,tiktok_ads,2024-01-27 00:24:25,2024-01-27 00:40:48
BS_0032_2024,CUST_BS_032,2024-01-03 23:06:10,fulfilled,48.90,36.03,2.88,9.99,2.96,credit_card,NV,false,,new,direct,2024-01-03 23:06:10,2024-01-04 16:38:16
BS_0033_2024,CUST_BS_033,2024-01-13 01:54:02,fulfilled,145.52,134.74,10.78,0.00,0.23,credit_card,KS,false,,new,direct,2024-01-13 01:54:02,2024-01-13 13:46:36
BS_0034_2024,CUST_BS_034,2024-01-17 11:03:52,fulfilled,24.04,22.26,1.78,0.00,2.73,google_pay,OH,false,,new,amazon_ads,2024-01-17 11:03:52,2024-01-17 18:26:30
BS_0035_2024,CUST_BS_035,2024-01-08 01:02:06,fulfilled,54.55,41.26,3.30,9.99,4.73,paypal,NC,false,,new,tiktok_ads,2024-01-08 01:02:06,2024-01-08 04:24:41
BS_0036_2024,CUST_BS_036,2024-01-28 11:44:04,shipped,52.55,48.66,3.89,0.00,3.32,google_pay,CA,false,,new,podcast_sponsor,2024-01-28 11:44:04,2024-01-29 05:46:11
