order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_amount,is_subscription_item,created_at
SM_0001_2024_ITEM_1,SM_0001_2024,SUPP_006,1,64.99,57.04,7.95,true,2024-01-26 05:04:03
SM_0001_2024_ITEM_2,SM_0001_2024,SUPP_008,1,44.99,44.99,0.00,true,2024-01-26 05:04:03
SM_0001_2024_ITEM_3,SM_0001_2024,SUPP_011,1,54.99,40.30,14.69,true,2024-01-26 05:04:03
SM_0002_2024_ITEM_1,SM_0002_2024,SUPP_005,1,28.99,21.99,7.00,true,2024-01-23 06:20:45
SM_0003_2024_ITEM_1,SM_0003_2024,SUPP_014,1,39.99,34.82,5.17,false,2024-01-08 20:04:51
SM_0003_2024_ITEM_2,SM_0003_2024,SUPP_010,1,29.99,21.11,8.88,true,2024-01-08 20:04:51
SM_0004_2024_ITEM_1,SM_0004_2024,SUPP_009,2,34.99,65.64,4.34,true,2024-01-24 18:52:19
SM_0005_2024_ITEM_1,SM_0005_2024,SUPP_016,1,149.99,149.99,0.00,false,2024-01-07 10:35:14
SM_0006_2024_ITEM_1,SM_0006_2024,SUPP_011,1,54.99,54.99,0.00,false,2024-01-26 03:35:42
SM_0006_2024_ITEM_2,SM_0006_2024,SUPP_008,1,44.99,40.23,4.76,false,2024-01-26 03:35:42
SM_0007_2024_ITEM_1,SM_0007_2024,SUPP_013,1,59.99,55.76,4.23,false,2024-01-14 08:42:30
SM_0007_2024_ITEM_2,SM_0007_2024,SUPP_017,1,199.99,194.69,5.30,true,2024-01-14 08:42:30
SM_0008_2024_ITEM_1,SM_0008_2024,SUPP_002,2,34.99,58.76,11.22,true,2024-01-18 01:14:43
SM_0009_2024_ITEM_1,SM_0009_2024,SUPP_012,1,49.99,49.99,0.00,false,2024-01-27 05:33:36
SM_0009_2024_ITEM_2,SM_0009_2024,SUPP_009,1,34.99,27.80,7.19,false,2024-01-27 05:33:36
SM_0010_2024_ITEM_1,SM_0010_2024,SUPP_007,1,49.99,48.51,1.48,false,2024-01-16 13:36:28
SM_0010_2024_ITEM_2,SM_0010_2024,SUPP_012,1,49.99,46.19,3.80,false,2024-01-16 13:36:28
SM_0011_2024_ITEM_1,SM_0011_2024,SUPP_009,1,34.99,34.99,0.00,false,2024-01-21 09:38:02
SM_0012_2024_ITEM_1,SM_0012_2024,SUPP_014,1,39.99,37.12,2.87,false,2024-01-04 06:22:55
SM_0012_2024_ITEM_2,SM_0012_2024,SUPP_005,1,28.99,28.99,0.00,false,2024-01-04 06:22:55
SM_0013_2024_ITEM_1,SM_0013_2024,SUPP_017,1,199.99,199.99,0.00,false,2024-01-24 07:04:50
SM_0014_2024_ITEM_1,SM_0014_2024,SUPP_014,1,39.99,39.99,0.00,true,2024-01-26 04:35:05
SM_0014_2024_ITEM_2,SM_0014_2024,SUPP_004,1,19.99,16.90,3.09,false,2024-01-26 04:35:05
SM_0015_2024_ITEM_1,SM_0015_2024,SUPP_014,1,39.99,30.71,9.28,false,2024-01-06 19:37:35
SM_0016_2024_ITEM_1,SM_0016_2024,SUPP_005,1,28.99,26.74,2.25,false,2024-01-09 00:59:04
SM_0017_2024_ITEM_1,SM_0017_2024,SUPP_005,1,28.99,25.53,3.46,true,2024-01-08 03:46:39
SM_0017_2024_ITEM_2,SM_0017_2024,SUPP_013,1,59.99,56.17,3.82,false,2024-01-08 03:46:39
SM_0017_2024_ITEM_3,SM_0017_2024,SUPP_001,1,24.99,21.93,3.06,false,2024-01-08 03:46:39
SM_0018_2024_ITEM_1,SM_0018_2024,SUPP_013,2,59.99,116.72,3.26,true,2024-01-15 14:59:51
SM_0019_2024_ITEM_1,SM_0019_2024,SUPP_009,1,34.99,34.99,0.00,true,2024-01-19 11:15:13
SM_0019_2024_ITEM_2,SM_0019_2024,SUPP_013,1,59.99,56.95,3.04,false,2024-01-19 11:15:13
SM_0020_2024_ITEM_1,SM_0020_2024,SUPP_015,1,69.99,69.99,0.00,false,2024-01-03 05:28:53
SM_0020_2024_ITEM_2,SM_0020_2024,SUPP_001,1,24.99,24.99,0.00,false,2024-01-03 05:28:53
SM_0020_2024_ITEM_3,SM_0020_2024,SUPP_009,1,34.99,24.53,10.46,false,2024-01-03 05:28:53
SM_0021_2024_ITEM_1,SM_0021_2024,SUPP_010,1,29.99,29.99,0.00,false,2024-01-15 06:42:22
SM_0021_2024_ITEM_2,SM_0021_2024,SUPP_002,1,34.99,27.20,7.79,true,2024-01-15 06:42:22
