order_id,customer_id,order_date,order_status,total_amount,subtotal,tax_amount,shipping_amount,discount_amount,payment_method,shipping_address_state,is_subscription_order,subscription_frequency,customer_type,acquisition_channel,created_at,updated_at
SM_0001_2024,CUST_SM_001,2024-01-26 05:04:03,fulfilled,153.72,142.33,11.39,0.00,22.64,google_pay,KS,false,,new,direct,2024-01-26 05:04:03,2024-01-26 19:36:45
SM_0002_2024,CUST_SM_002,2024-01-23 06:20:45,fulfilled,33.73,21.99,1.76,9.99,7.00,google_pay,WI,false,,new,google_search,2024-01-23 06:20:45,2024-01-24 02:54:32
SM_0003_2024,CUST_SM_003,2024-01-08 20:04:51,fulfilled,60.41,55.93,4.47,0.00,14.05,paypal,NY,false,,new,amazon_ads,2024-01-08 20:04:51,2024-01-09 01:02:27
SM_0004_2024,CUST_SM_004,2024-01-24 18:52:19,fulfilled,70.89,65.64,5.25,0.00,4.34,google_pay,CO,false,,new,word_of_mouth,2024-01-24 18:52:19,2024-01-25 17:16:38
SM_0005_2024,CUST_SM_005,2024-01-07 10:35:14,fulfilled,161.99,149.99,12.00,0.00,0.00,apple_pay,WI,false,,new,amazon_ads,2024-01-07 10:35:14,2024-01-08 05:14:12
SM_0006_2024,CUST_SM_006,2024-01-26 03:35:42,fulfilled,102.83,95.22,7.62,0.00,4.76,apple_pay,WA,false,,new,direct,2024-01-26 03:35:42,2024-01-26 10:07:20
SM_0007_2024,CUST_SM_007,2024-01-14 08:42:30,fulfilled,270.48,250.45,20.04,0.00,9.53,credit_card,NY,false,,new,instagram_ads,2024-01-14 08:42:30,2024-01-14 18:39:55
SM_0008_2024,CUST_SM_008,2024-01-18 01:14:43,fulfilled,63.46,58.76,4.70,0.00,11.22,apple_pay,WA,false,,new,facebook_ads,2024-01-18 01:14:43,2024-01-18 20:31:31
SM_0009_2024,CUST_SM_009,2024-01-27 05:33:36,fulfilled,84.01,77.79,6.22,0.00,7.19,apple_pay,OR,false,,new,facebook_ads,2024-01-27 05:33:36,2024-01-27 22:58:17
SM_0010_2024,CUST_SM_010,2024-01-16 13:36:28,fulfilled,102.28,94.71,7.58,0.00,5.27,apple_pay,CA,false,,new,podcast_sponsor,2024-01-16 13:36:28,2024-01-17 06:45:56
SM_0011_2024,CUST_SM_011,2024-01-21 09:38:02,fulfilled,47.78,34.99,2.80,9.99,0.00,paypal,KS,false,,new,tiktok_ads,2024-01-21 09:38:02,2024-01-21 16:01:27
SM_0012_2024,CUST_SM_012,2024-01-04 06:22:55,fulfilled,71.40,66.11,5.29,0.00,2.87,paypal,NC,false,,new,email,2024-01-04 06:22:55,2024-01-04 13:04:38
SM_0013_2024,CUST_SM_013,2024-01-24 07:04:50,fulfilled,215.99,199.99,16.00,0.00,0.00,paypal,WI,false,,new,email,2024-01-24 07:04:50,2024-01-24 21:34:02
SM_0014_2024,CUST_SM_014,2024-01-26 04:35:05,fulfilled,61.44,56.89,4.55,0.00,3.09,apple_pay,TX,false,,new,podcast_sponsor,2024-01-26 04:35:05,2024-01-26 04:58:06
SM_0015_2024,CUST_SM_015,2024-01-06 19:37:35,fulfilled,43.16,30.71,2.46,9.99,9.28,apple_pay,GA,false,,new,tiktok_ads,2024-01-06 19:37:35,2024-01-07 14:06:14
SM_0016_2024,CUST_SM_016,2024-01-09 00:59:04,fulfilled,38.87,26.74,2.14,9.99,2.25,credit_card,OR,false,,new,facebook_ads,2024-01-09 00:59:04,2024-01-09 21:55:21
SM_0017_2024,CUST_SM_017,2024-01-08 03:46:39,fulfilled,111.93,103.64,8.29,0.00,10.33,apple_pay,AZ,false,,new,google_search,2024-01-08 03:46:39,2024-01-08 10:11:36
SM_0018_2024,CUST_SM_018,2024-01-15 14:59:51,fulfilled,126.06,116.72,9.34,0.00,3.26,apple_pay,NC,false,,new,podcast_sponsor,2024-01-15 14:59:51,2024-01-16 11:11:15
SM_0019_2024,CUST_SM_019,2024-01-19 11:15:13,shipped,99.30,91.94,7.36,0.00,3.04,paypal,NC,false,,new,instagram_ads,2024-01-19 11:15:13,2024-01-20 08:27:00
SM_0020_2024,CUST_SM_020,2024-01-03 05:28:53,fulfilled,129.07,119.51,9.56,0.00,10.46,paypal,TX,false,,new,facebook_ads,2024-01-03 05:28:53,2024-01-04 01:53:49
SM_0021_2024,CUST_SM_021,2024-01-15 06:42:22,fulfilled,104.95,97.18,7.77,0.00,7.79,apple_pay,GA,false,,new,direct,2024-01-15 06:42:22,2024-01-15 07:35:41
SM_0022_2024,CUST_SM_022,2024-01-22 17:43:23,fulfilled,153.83,142.44,11.39,0.00,7.55,apple_pay,CA,false,,new,tiktok_ads,2024-01-22 17:43:23,2024-01-23 02:45:40
SM_0023_2024,CUST_SM_023,2024-01-15 19:00:52,fulfilled,161.99,149.99,12.00,0.00,0.00,apple_pay,CA,false,,new,tiktok_ads,2024-01-15 19:00:52,2024-01-16 04:56:21
SM_0024_2024,CUST_SM_024,2024-01-26 15:31:21,fulfilled,127.91,118.44,9.48,0.00,6.53,credit_card,CO,false,,new,email,2024-01-26 15:31:21,2024-01-26 19:16:18
