order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_amount,is_subscription_item,created_at
SS_0001_2024_ITEM_1,SS_0001_2024,SSML_007,1,22.99,22.39,0.60,false,2024-01-27 17:58:31
SS_0001_2024_ITEM_2,SS_0001_2024,SSML_006,1,34.99,34.99,0.00,true,2024-01-27 17:58:31
SS_0002_2024_ITEM_1,SS_0002_2024,SSML_002,1,19.99,19.99,0.00,false,2024-01-25 20:43:42
SS_0002_2024_ITEM_2,SS_0002_2024,SSML_003,1,27.99,27.99,0.00,false,2024-01-25 20:43:42
SS_0003_2024_ITEM_1,SS_0003_2024,SSML_004,1,16.99,16.99,0.00,false,2024-01-21 02:37:11
SS_0004_2024_ITEM_1,SS_0004_2024,SSML_002,1,19.99,14.86,5.13,false,2024-01-12 01:53:05
SS_0004_2024_ITEM_2,SS_0004_2024,SSML_007,2,22.99,45.98,0.00,false,2024-01-12 01:53:05
SS_0005_2024_ITEM_1,SS_0005_2024,SSML_002,1,19.99,19.99,0.00,false,2024-01-05 19:57:18
SS_0005_2024_ITEM_2,SS_0005_2024,SSML_003,1,27.99,27.99,0.00,false,2024-01-05 19:57:18
SS_0006_2024_ITEM_1,SS_0006_2024,SSML_001,1,29.99,29.35,0.64,false,2024-01-22 19:46:46
SS_0007_2024_ITEM_1,SS_0007_2024,SSML_004,1,16.99,16.99,0.00,false,2024-01-11 10:39:56
SS_0008_2024_ITEM_1,SS_0008_2024,SSML_002,1,19.99,19.99,0.00,false,2024-01-10 20:32:29
SS_0008_2024_ITEM_2,SS_0008_2024,SSML_008,1,79.99,70.31,9.68,false,2024-01-10 20:32:29
SS_0009_2024_ITEM_1,SS_0009_2024,SSML_007,1,22.99,19.49,3.50,false,2024-01-12 21:28:03
SS_0009_2024_ITEM_2,SS_0009_2024,SSML_005,2,39.99,79.98,0.00,true,2024-01-12 21:28:03
SS_0009_2024_ITEM_3,SS_0009_2024,SSML_003,1,27.99,27.99,0.00,false,2024-01-12 21:28:03
SS_0010_2024_ITEM_1,SS_0010_2024,SSML_005,1,39.99,39.99,0.00,true,2024-01-30 12:11:32
SS_0011_2024_ITEM_1,SS_0011_2024,SSML_007,2,22.99,45.98,0.00,false,2024-01-20 00:14:18
SS_0011_2024_ITEM_2,SS_0011_2024,SSML_004,2,16.99,28.62,5.36,true,2024-01-20 00:14:18
SS_0012_2024_ITEM_1,SS_0012_2024,SSML_008,1,79.99,79.99,0.00,true,2024-01-04 18:10:23
SS_0012_2024_ITEM_2,SS_0012_2024,SSML_004,1,16.99,15.59,1.40,false,2024-01-04 18:10:23
SS_0013_2024_ITEM_1,SS_0013_2024,SSML_001,1,29.99,25.26,4.73,false,2024-01-25 03:47:44
SS_0013_2024_ITEM_2,SS_0013_2024,SSML_007,1,22.99,22.99,0.00,true,2024-01-25 03:47:44
SS_0014_2024_ITEM_1,SS_0014_2024,SSML_006,1,34.99,34.16,0.83,false,2024-01-04 11:06:16
SS_0014_2024_ITEM_2,SS_0014_2024,SSML_008,1,79.99,79.99,0.00,false,2024-01-04 11:06:16
SS_0015_2024_ITEM_1,SS_0015_2024,SSML_007,1,22.99,22.99,0.00,false,2024-01-29 22:26:56
SS_0015_2024_ITEM_2,SS_0015_2024,SSML_003,1,27.99,24.94,3.05,false,2024-01-29 22:26:56
SS_0016_2024_ITEM_1,SS_0016_2024,SSML_005,1,39.99,37.84,2.15,false,2024-01-17 03:35:08
SS_0017_2024_ITEM_1,SS_0017_2024,SSML_003,2,27.99,55.98,0.00,true,2024-01-12 02:04:25
SS_0018_2024_ITEM_1,SS_0018_2024,SSML_008,1,79.99,57.94,22.05,false,2024-01-03 20:13:17
SS_0018_2024_ITEM_2,SS_0018_2024,SSML_002,1,19.99,18.26,1.73,true,2024-01-03 20:13:17
