order_id,customer_id,order_date,order_status,total_amount,subtotal,tax_amount,shipping_amount,discount_amount,payment_method,shipping_address_state,is_subscription_order,subscription_frequency,customer_type,acquisition_channel,created_at,updated_at
SS_0001_2024,CUST_SS_001,2024-01-27 17:58:31,fulfilled,61.97,57.38,4.59,0.00,0.60,apple_pay,KS,false,,new,direct,2024-01-27 17:58:31,2024-01-28 06:01:57
SS_0002_2024,CUST_SS_002,2024-01-25 20:43:42,fulfilled,51.82,47.98,3.84,0.00,0.00,paypal,AZ,false,,new,facebook_ads,2024-01-25 20:43:42,2024-01-26 08:42:38
SS_0003_2024,CUST_SS_003,2024-01-21 02:37:11,fulfilled,28.34,16.99,1.36,9.99,0.00,paypal,UT,false,,new,google_search,2024-01-21 02:37:11,2024-01-21 09:53:58
SS_0004_2024,CUST_SS_004,2024-01-12 01:53:05,processing,65.71,60.84,4.87,0.00,5.13,google_pay,PA,false,,new,email,2024-01-12 01:53:05,2024-01-12 23:15:51
SS_0005_2024,CUST_SS_005,2024-01-05 19:57:18,fulfilled,61.81,47.98,3.84,9.99,0.00,google_pay,CO,false,,new,direct,2024-01-05 19:57:18,2024-01-06 01:47:57
SS_0006_2024,CUST_SS_006,2024-01-22 19:46:46,fulfilled,41.69,29.35,2.35,9.99,0.64,paypal,MN,false,,new,email,2024-01-22 19:46:46,2024-01-22 23:41:06
SS_0007_2024,CUST_SS_007,2024-01-11 10:39:56,fulfilled,18.35,16.99,1.36,0.00,0.00,google_pay,WI,false,,new,google_search,2024-01-11 10:39:56,2024-01-11 11:55:51
SS_0008_2024,CUST_SS_008,2024-01-10 20:32:29,fulfilled,97.52,90.30,7.22,0.00,9.68,google_pay,MN,false,,new,podcast_sponsor,2024-01-10 20:32:29,2024-01-10 23:37:37
SS_0009_2024,CUST_SS_009,2024-01-12 21:28:03,fulfilled,137.66,127.46,10.20,0.00,3.50,credit_card,OR,false,,new,facebook_ads,2024-01-12 21:28:03,2024-01-13 09:53:04
SS_0010_2024,CUST_SS_010,2024-01-30 12:11:32,fulfilled,53.18,39.99,3.20,9.99,0.00,apple_pay,FL,false,,new,word_of_mouth,2024-01-30 12:11:32,2024-01-31 08:08:47
SS_0011_2024,CUST_SS_011,2024-01-20 00:14:18,fulfilled,80.57,74.60,5.97,0.00,5.36,paypal,IL,false,,new,word_of_mouth,2024-01-20 00:14:18,2024-01-20 22:04:34
SS_0012_2024,CUST_SS_012,2024-01-04 18:10:23,fulfilled,103.22,95.58,7.65,0.00,1.40,credit_card,NV,false,,new,youtube_ads,2024-01-04 18:10:23,2024-01-04 22:38:55
SS_0013_2024,CUST_SS_013,2024-01-25 03:47:44,fulfilled,62.10,48.25,3.86,9.99,4.73,credit_card,IL,false,,new,email,2024-01-25 03:47:44,2024-01-25 21:11:30
SS_0014_2024,CUST_SS_014,2024-01-04 11:06:16,shipped,123.28,114.15,9.13,0.00,0.83,apple_pay,UT,false,,new,email,2024-01-04 11:06:16,2024-01-05 01:06:19
SS_0015_2024,CUST_SS_015,2024-01-29 22:26:56,fulfilled,51.77,47.93,3.83,0.00,3.05,credit_card,NC,false,,new,podcast_sponsor,2024-01-29 22:26:56,2024-01-30 03:48:31
SS_0016_2024,CUST_SS_016,2024-01-17 03:35:08,fulfilled,40.87,37.84,3.03,0.00,2.15,google_pay,PA,false,,new,word_of_mouth,2024-01-17 03:35:08,2024-01-17 09:01:24
SS_0017_2024,CUST_SS_017,2024-01-12 02:04:25,fulfilled,60.46,55.98,4.48,0.00,0.00,apple_pay,KS,false,,new,direct,2024-01-12 02:04:25,2024-01-12 15:37:12
SS_0018_2024,CUST_SS_018,2024-01-03 20:13:17,fulfilled,173.40,160.56,12.84,0.00,34.39,credit_card,CA,false,,new,podcast_sponsor,2024-01-03 20:13:17,2024-01-04 00:17:09
SS_0019_2024,CUST_SS_019,2024-01-06 00:08:40,fulfilled,64.47,59.70,4.78,0.00,10.28,credit_card,KS,false,,new,google_search,2024-01-06 00:08:40,2024-01-06 07:20:04
SS_0020_2024,CUST_SS_020,2024-01-21 21:29:03,fulfilled,29.99,27.77,2.22,0.00,2.22,apple_pay,NC,false,,new,google_search,2024-01-21 21:29:03,2024-01-22 02:55:34
SS_0021_2024,CUST_SS_021,2024-01-09 10:15:41,fulfilled,56.18,52.02,4.16,0.00,7.96,paypal,PA,false,,new,tiktok_ads,2024-01-09 10:15:41,2024-01-09 14:52:33
